
  DETECT | R: 5.484 m | V:-0.041 m/s | Beam:  55.00 deg | AoA:  55.00 deg | X: 4.492 | Y: 3.145 | P:4.997e+10
  DETECT | R: 0.622 m | V:-4.692 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.538 | Y: 0.311 | P:3.155e+12
  DETECT | R: 0.619 m | V:-2.756 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.536 | Y: 0.310 | P:3.611e+12
  DETECT | R: 1.264 m | V:-7.092 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 1.094 | Y: 0.632 | P:3.665e+10
  DETECT | R: 4.126 m | V: 0.088 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 3.573 | Y: 2.063 | P:2.159e+10
  DETECT | R: 8.889 m | V:-8.397 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 7.698 | Y: 4.444 | P:4.256e+09

FRAME 5 | Timestamp: 1774891060.4719 | Latency: 1311.48 ms | NumBeams: 25 | KeptAfter3DNMS: 15
  DETECT | R: 0.661 m | V:-7.025 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.572 | Y: 0.330 | P:1.289e+13
  DETECT | R: 5.010 m | V: 0.044 m/s | Beam: -50.00 deg | AoA: -50.00 deg | X:-3.838 | Y: 3.220 | P:1.977e+11
  DETECT | R: 3.460 m | V:-0.080 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-1.730 | Y: 2.997 | P:7.725e+10
  DETECT | R: 0.671 m | V:-6.767 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-0.283 | Y: 0.608 | P:3.220e+12
  DETECT | R: 5.008 m | V: 0.073 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.296 | Y: 4.837 | P:1.236e+11
  DETECT | R: 5.482 m | V:-0.129 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.419 | Y: 5.295 | P:3.614e+10
  DETECT | R: 0.661 m | V:-7.126 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 0.115 | Y: 0.651 | P:1.297e+13
  DETECT | R: 5.010 m | V: 0.034 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.297 | Y: 4.839 | P:2.025e+11
  DETECT | R: 3.460 m | V:-0.080 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 1.730 | Y: 2.997 | P:7.725e+10
  DETECT | R: 0.672 m | V:-6.876 m/s | Beam:  40.00 deg | AoA:  40.00 deg | X: 0.432 | Y: 0.515 | P:3.320e+12
  DETECT | R: 5.009 m | V: 0.059 m/s | Beam:  50.00 deg | AoA:  50.00 deg | X: 3.837 | Y: 3.219 | P:1.301e+11
  DETECT | R: 5.481 m | V:-0.136 m/s | Beam:  50.00 deg | AoA:  50.00 deg | X: 4.199 | Y: 3.523 | P:3.811e+10
  DETECT | R: 0.665 m | V:-6.504 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.576 | Y: 0.333 | P:1.402e+12
  DETECT | R: 0.739 m | V:-6.729 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.640 | Y: 0.369 | P:1.096e+12
  DETECT | R: 4.127 m | V: 0.013 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 3.574 | Y: 2.063 | P:2.819e+10

FRAME 6 | Timestamp: 1774891062.0975 | Latency: 1422.14 ms | NumBeams: 25 | KeptAfter3DNMS: 14
  DETECT | R: 4.100 m | V:-0.007 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-3.550 | Y: 2.050 | P:4.408e+10
  DETECT | R: 0.759 m | V:-10.286 m/s | Beam: -55.00 deg | AoA: -55.00 deg | X:-0.622 | Y: 0.436 | P:1.877e+13
  DETECT | R: 4.950 m | V: 0.155 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.500 | Y: 3.500 | P:1.196e+11
