RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773105864.5191 | Latency: 31.66ms
  > R:-0.019m | V:-0.599m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.511m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.452m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.426m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.401m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.376m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.363m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.323m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.302m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.279m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.249m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.226m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.203m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.174m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.149m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.128m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.103m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.072m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.021m/s | A: 36.50deg | X:-0.011 | Y:-0.015
  > R:-0.019m | V: 0.015m/s | A:-34.28deg | X: 0.011 | Y:-0.015
  > R:-0.019m | V: 0.161m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.259m/s | A:-90.00deg | X: 0.019 | Y:-0.000
